city,latitude,longitude,population
Youngstown, OH,4110,8065,115436
Yankton, SD,4288,9739,12011
Yakima, WA,4660,12051,49826
Worcester, MA,4227,7180,161799
Wisconsin Dells, WI,4363,8977,2521
Winston-Salem, NC,3610,8025,131885
Winnipeg, MB,4988,9715,564473
Winchester, VA,3919,7816,20217
Wilmington, NC,3424,7792,139238
Wilmington, DE,3975,7555,70195
Williston, ND,4815,10362,13336
Williamsport, PA,4125,7700,33401
Williamson, WV,3768,8228,5219
Wichita Falls, TX,3390,9849,94201
Wichita, KS,3769,9734,279835
Wheeling, WV,4007,8072,43070
West Palm Beach, FL,2672,8005,63305
Wenatchee, WA,4742,12032,17257
Weed, CA,4142,12239,2879
Waycross, GA,3122,8235,19371
Wausau, WI,4496,8964,32426
Waukegan, IL,4236,8783,67653
Watertown, SD,4490,9711,15649
Watertown, NY,4398,7592,27861
Waterloo, IA,4250,9234,75985
Waterbury, CT,4155,7305,103266
Washington, DC,3889,7703,638432
Warren, PA,4185,7914,12146
Walla Walla, WA,4607,11833,25618
Waco, TX,3155,9714,101261
Vincennes, IN,3868,8753,20857
Victoria, TX,2881,9701,50695
Vicksburg, MS,3235,9088,25434
Vancouver, BC,4927,12312,414281
Valley City, ND,4692,9801,7774
Valdosta, GA,3083,8328,37596
Utica, NY,4311,7523,75632
Uniontown, PA,3990,7973,14510
Tyler, TX,3235,9530,70508
Twin Falls, ID,4256,11447,26209
Tuscaloosa, AL,3321,8757,75211
Tupelo, MS,3426,8871,23905
Tulsa, OK,3616,9591,360919
Tucson, AZ,3222,11097,330537
Trinidad, CO,3717,10451,9663
Trenton, NJ,4023,7477,92124
Traverse City, MI,4476,8563,15516
Toronto, ON,4365,7938,599217
Topeka, KS,3905,9567,115266
Toledo, OH,4165,8354,354635
Texarkana, TX,3343,9405,31271
Terre Haute, IN,3947,8741,61125
Tampa, FL,2795,8245,271523
Tallahassee, FL,3045,8428,81548
Tacoma, WA,4724,12243,158501
Syracuse, NY,4305,7615,170105
Swainsboro, GA,3260,8234,7602
Sumter, SC,3392,8035,24890
Stroudsburg, PA,4099,7519,5148
Stockton, CA,3796,12129,149779
Stevens Point, WI,4452,8957,22970
Steubenville, OH,4036,8062,26400
Sterling, CO,4062,10322,11385
Staunton, VA,3815,7907,21857
Springfield, OH,3992,8381,72563
Springfield, MO,3722,9329,133116
Springfield, MA,4210,7259,152319
Springfield, IL,3980,8965,100054
Spokane, WA,4767,11741,171300
South Bend, IN,4168,8625,109727
Sioux Falls, SD,4354,9673,81343
Sioux City, IA,4249,9639,82003
Shreveport, LA,3251,9375,205820
Sherman, TX,3364,9661,30413
Sheridan, WY,4480,10696,15146
Seminole, OK,3523,9668,8590
Selma, AL,3242,8702,26684
Sedalia, MO,3871,9323,20927
Seattle, WA,4760,12233,493846
Scranton, PA,4141,7567,88117
Scottsbluff, NE,4187,10366,14156
Schenectady, NY,4282,7395,67972
Savannah, GA,3208,8109,141634
Sault Sainte Marie, MI,4649,8435,14448
Sarasota, FL,2734,8253,48868
Santa Rosa, CA,3844,12272,83320
Santa Fe, NM,3568,10595,48953
Santa Barbara, CA,3442,11970,74414
Santa Ana, CA,3376,11787,204023
San Jose, CA,3734,12188,629546
San Francisco, CA,3778,12242,678974
Sandusky, OH,4145,8271,31360
San Diego, CA,3271,11715,875538
San Bernardino, CA,3411,11731,118794
San Antonio, TX,2942,9850,786023
San Angelo, TX,3146,10044,73240
Salt Lake City, UT,4076,11188,163697
Salisbury, MD,3837,7560,16429
Salinas, CA,3667,12165,80479
Salina, KS,3884,9761,41843
Salida, CO,3853,10600,44870
Salem, OR,4494,12303,89233
Saint Paul, MN,4495,9310,270230
Saint Louis, MO,3862,9019,453085
Saint Joseph, MO,3977,9484,76691
Saint Joseph, MI,4210,8648,9622
Saint Johnsbury, VT,4442,7202,7150
Saint Cloud, MN,4557,9417,42566
Saint Augustine, FL,2989,8132,11985
Saginaw, MI,4343,8394,77508
Sacramento, CA,3859,12149,275741
Rutland, VT,4361,7297,18436
Roswell, NM,3340,10453,39676
Rocky Mount, NC,3594,7780,41283
Rock Springs, WY,4159,10923,19458
Rockford, IL,4227,8910,139712
Rochester, NY,4316,7761,241741
Rochester, MN,4402,9246,57890
Roanoke, VA,3727,7994,100220
Richmond, VA,3754,7745,219214
Richmond, IN,3983,8489,41349
Richfield, UT,3877,11209,5482
Rhinelander, WI,4564,8942,7873
Reno, NV,3952,11981,100756
Regina, SK,5042,10465,162613
Red Bluff, CA,4018,12224,9490
Reading, PA,4033,7593,78686
Ravenna, OH,4116,8124,11987
